nombre,telefono,id_productora
Ais producciones,56987054160,0
Cucarro producciones limitada ,56935039844,1
C&m musicos - musica y asesorias musicales,56982842595,2
Eventos comunidad ombligo limitada,56938037004,3
Alto la torre,56911128539,4
Expat,1376542840,5
Rove.me,3219126688,6
Producciones y eventos empire digital limitada,56939058051,7
Producciones seven time entertainment group limitada,56931242846,8
Comercial audio tec limitada,56950832829,9
fullevent.de,4996934169,10
PIEDRA MALA PRODUCCIONES ,54975092425,11
Alva producciones ltda,56929039874,12
Gn Producciones,57974815035,13
Blackgaton,55987249505,14
Onlygroundmusic,57968968795,15
Mundo Epika,55922519509,16
Andeschimp spa,56966594257,17
TONICAS PRODUCCIONES ,54969001174,18
Centro eventos torres de paine,56965706463,19
Multimusica s.a.,56979416582,20
Carlos alberto perez alegria productora de eventos e.i.r.l,56910378232,21
Sydney WorldPride,6136289616,22
OZONO & PIEDRA MALA PRODUCCIONES ,54985656767,23
ARIEL DIWAN PRODUCCIONES S.R.L. ,54995594838,24
Wlaceventos,56912686146,25
Trimade eventos limitada ,56930524173,26
Producciones oz limitada,56944340617,27
Agosin eventos,56969057647,28
Yataco,55959997398,29
Colors producciones limitada,56948771726,30
UN PLAN PRODUCCIONES ,54917532684,31
Venue Hire Sydney,6136093629,32
LINO PATALANO ,54985244788,33
Centro de convenciones santiago s.a.,56952535504,34
Virtualia (productora de eventos),56920544795,35
Europages,4958133005,36
Dreams - eventos,56924340198,37
AV Company,6177546140,38
CMG Audio Visual,6147759107,39
Padrao Bull Prime,55911684208,40
ATIPICA ,54954578274,41
Centro de eventos dona sofia,56970591810,42
Weise y asociados limitada,56966193097,43
Animationphoenix,57972352799,44
Comercial visto bueno producciones limitada,56987858010,45
Sonnica producciones,56974792305,46
Beone - entertainment limitada,56949887315,47
Eventos mudness limitada,56937637012,48
Actividades de entretenimiento n.c. p fabiola patricia fabres cerda em ,56961071697,49
Eventveranstalter Hamburg,4988688472,50
LetsGo Company,34975957941,51
Reverb - productora de eventos,56961939488,52
Live Nation,34997188733,53
efeunodos,57939984095,54
Hispagenda,3213773242,55
Carpas karen ltda,56968719305,56
Sony music entertainment chile s.a.,56962981007,57
Onanof producciones limitada,56918956533,58
Club providencia,56978193322,59
Yataco,4941692395,60
Lotus producciones limitada,56991701110,61
Janos Eventos,55951440068,62
Rocko Saroni Eventos,57995344929,63
EL MAGNO PRODUCCIONES S.R.L. ,54992630886,64
Soc giacaman y cia ltda,56928442521,65
CK Events Germany,4957837295,66
Eventos Toronto Shaddai,1367905800,67
Top Brand,57917249010,68
MEDIOS Y CONTENIDOS PRODUCCIONES ,54977963788,69
Corral y asociados limitada,56931452617,70
Sociedad comercial metapega producciones limitada,56911866081,71
Tyg Eventos y Producciones,57991126789,72
Latitud music spa,56985573340,73
X Producciones,56948374098,74
Somosfk,57925172195,75
Comercial caupolican limitada,56995147821,76
ESPECTACULOS GALLO ,54980230860,77
Street machine producciones s.a.,56974818372,78
FMG PRODUCCIONES ,54986502163,79
EventsEye,1705851779,80
FEG ENTRETENIMIENTOS ,54942915097,81
T-entertainment multi producciones  (sebastian torres cortes e.i.r.l).,56988565029,82
manatua.nz,6436087029,83
GJ COMUNICACIONES,57975125182,84
Producciones musicales massivo reccords limitada,56921335246,85
Apparcel producciones limitada,56960436244,86
Eventos flores y padilla limitada ,56983878758,87
AS Relaciones Publicas,57991470816,88
Productora babilonia limitada,56968204722,89
Janos Eventos,54950400756,90
Entretenciones jovi limitada,56946191670,91
CSI DMC,130566773,92
MGC,6111002225,93
K PRODUCCIONES S.A.,54989688585,94
Global producciones spa,56945526874,95
Global producciones spa,56986324756,96
Capsule producciones spa,56936344167,97
Iragons Party,57928123436,98
GL events,6127628376,99
Soc concesionaria arena bicentenario s a ,56992589376,100
Ditecsur,55954347705,101
The Imagos,124187449,102
Revelation,156119884,103
Ramasso Productora,54961624158,104
Ultrabeatman Entretenimiento Puro,55946667054,105
BDD Producciones,56978907370,106
Torres petronas spa,56975727061,107
Glovox producciones limitada,56999913708,108
Productora chile espectaculos,56915189726,109
Eventos mudness limitada,56981981776,110
Dedalo producciones,56991289186,111
Glovox producciones limitada,56932942269,112
Huma Producciones,57997410324,113
YouTOOProject,6197338356,114
ARTES Y EVENTOS INTERNACIONALES S.A. ,54944396477,115
GRUS ,54981582961,116
AP Eventos,57938839736,117
Cream entertainment group spa,56961661911,118
GL events,3227268105,119
Recreo producciones spa,56986784895,120
Grupo previa s.a.,56980793306,121
K INTERNATIONAL ,54995547149,122
Litmind,3298627526,123
BRL Eventos,55946915045,124
Cultura ciudadana,56955784400,125
Eventos flores y padilla limitada ,56950249344,126
Chocolate stage s.a.,56917441369,127
Eventos y producciones evolucion s.a,56959998762,128
DG Medios y espectaculos s.a.,56916238624,129
903,57950601431,130
Somosfk,55942340495,131
Kibon video,56992881968,132
Eventos y producciones evolucion s.a,56910965353,133
Time for fun (t4f),56910802591,134
Ye & Ca Producciones ,57990126019,135
T4F ENTRETENIMIENTOS ARGENTINA ,54931160829,136
ESTADIUM LUNA PARK ,54935383652,137
Bautrip,3257121198,138
Vision world producciones limitada,56938300005,139
Urban Music,55940395819,140
Productora de eventos moviefan limitada,56942080958,141
Bizarro producciones limitada,56924563324,142
Entertainment group,56935819988,143
LA CRYPTA S.A. ,54996544614,144
Actitud creaciones,56945716004,145
Brasil Stands,55926535235,146
Tolten eventos,56994508547,147
MCA,6178001589,148
Planet Events,34984529788,149
Energika eventos limitada,56937421120,150
MGC,4985708353,151
Top Bruselas,3259496452,152
Fg producciones,56958942074,153
Merci entertainment spa ,56970483595,154
Xceed,3228194846,155
Arte3,56966931492,156
Carlos lopez vega productora de eventos,56945993224,157
Audio Level Eventos,57945999780,158
Medios y contenidos producciones de chile s.a.,56965187907,159
Leading Event Agency,6487891147,160
BLAO,54928648174,161
Sono producciones limitada,56916684498,162
B+D Events,4980743450,163
Andres gardeweg producciones e.i.r.l,56910425417,164
Productora energy in motion limitada,56935087505,165
Producciones Baltimore,34933143000,166
Sociedad comercial mk pro limitada,56980076583,167
Canada Eventos,1457882270,168
Producciones Walter Beat,57916262938,169
EL VASCO PRODUCCIONES ,54932741531,170
Productora dreams pro limitada ,56979236210,171
Aguero producciones limitada,56928968013,172
Privadate,57930188930,173
KahnEvents GmbH,4948350929,174
Club de la union,56991030024,175
Backstage rockstore s.a.,56941637925,176
Charco booking spa,56941000398,177
El trebol,56911768392,178
Yataco,1487223027,179
Palma y compania limitada,56966913535,180
Global Journey,3249809958,181
Expat,6143967797,182
Expat,3265898429,183
Noix producciones limitada,56953718355,184
Eventos luis maturana ortega e.i.r.l,56926172560,185
PALERMO FILMS S.A. ,54919305242,186
Eventlocations Munchen,4968413577,187
Centro de eventos aravena malloco,56968775108,188
Ecopass,56960875261,189
Factor Eventos,57996885255,190
Dives eirl - productora de evento,56999613501,191
German norambuena y cia ltda,56929345513,192
Your Dream,57963294595,193
PRELUDIO PRODUCCIONES S.A. ,54934555158,194
Comercial cueto balmaceda limitada,56946319019,195
Grandes Eventos,34986537886,196
Wow.cl,56934542284,197
Lotus festival s.a.,56950372617,198
Sach producciones y eventos limitada,56976265552,199
Glamour,56966710743,200
Universal circus,56975740091,201
ATOMIC FILMS,54940539638,202
Litmind,4921039439,203
Globscorp,55982981217,204
Casa eventos,56914720995,205
Event Hire Sydney,6143432453,206
Lotus sonar spa,56931548178,207
Eventos y banqueteria leonor contreras hormazabal e.i.r.l.,56962720080,208
ROT Entertainment,57976489405,209
Live Nation,154154674,210
Bafochi ltda,56937657085,211
Horwath Productions INC.,166739809,212
Agencia 360,55981319725,213
Mayam Producciones,1877868821,214
Meta proyectos sa,56940929599,215
Millie Millgate,6145268664,216
Yellow House,56958868610,217
G & t business group spa,56954260382,218
CONTENIDOS Y ENTRETENIMIENTOS S.A. ,54957987145,219
Ibolele Producciones,34969809830,220
Eventos luis maturana ortega e.i.r.l,56984565039,221
Mouro Producciones,34987009709,222
COMPAÑÍA ARGENTINA DE SUEÑOS ,54950205631,223
Sinstress Eventos,57949881782,224
Fg producciones,56973651106,225
Los Angeles AV Production,129530188,226
Nachhaltige Events,4972642958,227
Ee - servicio de eventos,56994376160,228
PROSPERO PRODUCCIONES ,54981121681,229
Bierlinerin,4954523627,230
AEG,138339286,231
AVANT GARDE RP,57950600008,232
Eventos F.C,57989921001,233
Ethno Nueva Zelanda,6416660401,234
MD+,54977219062,235
Lets Dance,6477349795,236
Hartmann Studios,182398718,237
Dnj Producciones,57944470684,238
Freedom Eventos,57956812388,239
Queenstown Event Company,6495091750,240
Event Production Company,114142196,241
Eveerlast Productions INC.,151359131,242
Event Management NZ,6445721253,243
Nikkita producciones spa,56996308812,244
IndyRock,34911917911,245
